,ID,phi,t,f,P,mw,w10m,v,r,rf
193,2021,122.6,-6,1.64E-05,1004,0,2.74,19.8855029,248.5133084,20.25
194,2021,122.05,-3,1.62E-05,1005,0,2.63,20.2344285,222.1645967,10.08
195,2021,121.5,0,1.61E-05,1006,0,3.3,20.24221514,210.4855287,24.93
196,2021,120.75,3,1.60E-05,1005,0,3.51,27.20658351,212.528233,28.56
197,2021,120,6,1.60E-05,1004,0,4.09,27.21192053,243.6390543,13.29
198,2021,119.1,9,1.60E-05,1003,0,4.25,32.57880261,301.7740984,7.44
199,2021,118.2,12,1.60E-05,1002,0,5.16,32.57880261,376.669663,11.22
200,2021,116.8,15,1.61E-05,1000,17.5,4.85,50.79298292,504.0482791,15.93
201,2021,115.4,18,1.62E-05,998,35,4.73,50.7728726,642.2339901,24.81
202,2021,114.2,21,1.62E-05,997,37.5,4.28,43.45200176,768.960444,9.06
203,2021,113,24,1.61E-05,996,40,2.58,43.46061927,896.8134856,24.66
204,1724,126.35,-24,1.47E-05,1005,0,4.13,0,664.2714477,0.06
205,1724,125.6,-21,1.52E-05,1004,0,2.4,30.97358519,570.6269426,0.42
206,1724,124.95,-18,1.56E-05,1005,0,2.45,26.03922536,492.293457,0.69
207,1724,124.3,-15,1.60E-05,1006,0,2.37,26.01443846,414.1999509,1.74
208,1724,123.55,-12,1.64E-05,1005,0,2.61,29.29918779,327.3612029,3.6
209,1724,122.8,-9,1.67E-05,1004,0,2.64,29.26854214,241.7237978,6.57
210,1724,122.15,-6,1.70E-05,1004,0,4.61,25.20544721,170.4718912,12.87
211,1724,121.5,-3,1.73E-05,1004,0,5.04,25.18232647,105.8138908,21.06
212,1724,120.9,0,1.77E-05,1004,0,4.41,24.27762926,62.28564818,44.79
213,1724,120.3,3,1.81E-05,1004,0,3.6,24.25215356,84.62120891,52.92
214,1724,119.75,6,1.85E-05,1003,17.5,2.35,22.64583038,139.4406533,48.84
215,1724,119.2,9,1.88E-05,1002,35,2.73,22.62200862,202.1530095,33.15
216,1724,118.85,12,1.94E-05,1002,35,4.28,20.82752501,251.8143774,50.67
217,1724,118.5,15,1.99E-05,1002,35,3.29,20.81115625,305.9473662,65.97
218,1724,118.05,18,2.05E-05,1002,35,3.6,24.4682718,374.4330772,13.26
219,1724,117.6,21,2.11E-05,1002,35,3.55,24.44118485,444.1218517,2.76
220,1724,117.3,24,2.13E-05,1001,35,2.14,12.00239104,479.6530046,1.44
221,2002,125.05,-24,1.67E-05,1006,0,3.68,0,458.9120786,10.26
222,2002,124.7,-21,1.72E-05,1006,0,2.35,19.44527929,409.0656206,4.02
223,2002,124.3,-18,1.76E-05,1006,0,2.14,18.18099327,358.8999418,7.62
224,2002,123.9,-15,1.80E-05,1006,0,1.9,18.16600441,310.4603334,13.98
225,2002,123.4,-12,1.82E-05,1005,0,1.75,19.42610955,254.4466539,11.79
226,2002,122.9,-9,1.85E-05,1004,0,1.76,19.41103207,199.9764662,5.64
227,2002,122.35,-6,1.87E-05,1004,0,2.45,21.06425236,143.3787189,2.16
228,2002,121.8,-3,1.89E-05,1004,0,2.16,21.04700514,95.77191157,0.39
