YYMMDDHH,PRECIP,WS10M
10063000,1.68,0.57
10063006,3.3,1.24
10063012,0.6700000000000002,1.71
10063018,0.21000000000000002,1.8
10070100,0.11000000000000001,1.92
10070106,0.09999999999999999,1.65
10070112,0.1,2.71
10070118,0.08999999999999998,1.74
10070200,0.060000000000000005,1.57
10070206,0.05,0.88
10070212,0.41000000000000003,1.33
10070218,0.44,1.64
10070300,0.25,1.34
10070306,0.13,0.98
10070312,0.8700000000000001,1.85
10070318,2.04,1.78
10070400,1.44,1.83
10070406,1.25,0.66
10070412,0.79,1.89
10070418,0.7699999999999999,1.86
10070500,0.44000000000000006,1.41
10070506,0.61,1.34
10070512,2.18,2.12
10070518,2.3299999999999996,2.06
10070600,1.87,1.74
10070606,0.89,1.23
10070612,0.35,2.25
10070618,0.43,2.17
10070700,0.18999999999999997,1.62
10070706,0.16999999999999998,1.15
10070712,3.25,1.67
10070718,9.61,0.61
10070800,11.15,1.51
10070806,8.14,2.2
10070812,1.2800000000000002,2.77
10070818,0.62,1.53
10070900,0.6,1.33
10070906,0.55,0.84
10070912,8.190000000000001,1.7
10070918,4.21,1.09
10071000,0.5,1.64
10071006,2.4699999999999998,1.24
10071012,2.59,0.06
10071018,2.0399999999999996,0.56
10071100,1.1300000000000001,0.82
10071106,2.05,1.4
10071112,0.99,1.86
10071118,0.43000000000000005,1.37
10071200,0.23000000000000004,1.62
10071206,0.5399999999999999,0.53
10071212,1.7700000000000002,0.61
10071218,1.86,0.55
10071300,2.7699999999999996,1.32
10071306,2.0500000000000003,1.5
10071312,29.17,0.85
10071318,27.169999999999998,1.45
10071400,25.72,1.81
10071406,24.009999999999998,2.36
10071412,7.5200000000000005,4.2
10071418,8.790000000000001,2.67
10071500,5.1,2.08
10071506,2.6199999999999997,2.22
10071512,2.0700000000000003,3.63
10071518,2.61,1.81
10071600,2.19,1.81
10071606,1.22,1.91
10071612,1.0799999999999998,2.4
10071618,0.7,1.64
10071700,0.36,1.6
10071706,0.66,1.37
10071712,3.57,0.64
10071718,3.95,1.39
10071800,3.9400000000000004,1.48
10071806,6.380000000000001,1.05
10071812,4.64,0.56
10071818,7.1899999999999995,1.38
10071900,6.13,2.05
10071906,5.430000000000001,1.31
10071912,4.04,3.79
10071918,4.58,2.2
10072000,3.88,2.07
10072006,1.85,1.7
10072012,6.539999999999999,1.26
10072018,12.09,0.44
10072100,9.05,1.04
10072106,5.83,1.37
10072112,3.1100000000000003,1.49
10072118,3.7800000000000002,0.54
10072200,2.99,1.22
10072206,1.8699999999999999,1.88
10072212,0.13,0.86
10072218,0.7400000000000001,0.28
10072300,1.08,1.15
10072306,1.49,1.3
10072312,2.71,1.98
10072318,2.6700000000000004,1.3
10072400,0.88,0.49
10072406,0.58,1.79
10072412,3.75,1.72
10072418,4.89,1.42
10072500,3.04,1.66
10072506,4.3,1.53
10072512,6.73,1.71
10072518,7.74,1.78
10072600,4.6499999999999995,1.92
10072606,2.32,2.17
10072612,3.04,2.44
10072618,4.0200000000000005,1.67
10072700,2.92,1.99
10072706,1.4999999999999998,2.05
10072712,2.4,2.73
